CompanyId,AsOfDate,SegmentName,SegmentDescription,SubIndustry
WH3IUAUZF5,2024-12-31,Animal Nutrition and Health (ANH),"Animal Nutrition and Health (ANH) (""ANH"") segment provides nutritional products derived from its microencapsulation and chelation technologies in addition to the essential nutrient choline chloride. For ruminant animals, the Company’s microencapsulated products boost health and milk production by delivering nutrient supplements that are biologically available, providing required nutritional levels.",1013002005
WH3IUAUZF5,2024-12-31,Human Nutrition and Health (HNH),"Human Nutrition and Health (HNH) (""HNH"") segment provides human grade choline nutrients and mineral amino acid chelated products through this segment for nutrition and health applications. Choline is recognized to play a key role in the development and structural integrity of brain cell membranes in infants, processing dietary fat, reproductive development and neural functions, such as memory and muscle function.",1013002005
WH3IUAUZF5,2024-12-31,Specialty Products (SP),"Specialty Products (SP) Company re-packages and distributes a number of performance gases and chemicals for various uses by its customers, notably ethylene oxide, propylene oxide, and ammonia. Ethylene oxide is sold as a sterilant gas, primarily for use in the health care industry. It is used to sterilize a wide range of medical devices because of its versatility and effectiveness in treating hard or soft surfaces, composites, metals, tubing and different types of plastics.",1013002006
VUKOALLU7A,2024-12-31,Baidu Core,"Baidu Core segment mainly provides search-based, feed-based, and other online marketing services, cloud services, products and other services from new AI initiatives.",3083001002
VUKOALLU7A,2024-12-31,iQIYI,"iQIYI segment produces, aggregates and distributes a wide variety of professionally produced content, as well as a broad spectrum of other video content, in a variety of formats.",3083001002
PC2W5WSGEQ,2024-12-31,Global Markets,"Global Markets offers sales and trading services and research services to institutional clients across fixed-income, credit, currency, commodity and equity businesses. Global Markets provides market-making, financing, securities clearing, settlement and custody services globally to institutional investor clients in support of their investing and trading activities. Global Markets product coverage includes securities and derivative products in both the primary and secondary markets.",1032001099
PC2W5WSGEQ,2024-12-31,Global Wealth & Investment Management,"Global Wealth & Investment Management provides a high-touch client experience through a network of financial advisors focused on clients with over $250,000 in total investable assets, including tailored solutions to meet clients’ needs through a full set of investment management, brokerage, banking and retirement products. GWIM also provides comprehensive wealth management solutions targeted to high net worth and ultra high net worth clients, as well as customized solutions, etc.",1031001003
PC2W5WSGEQ,2024-12-31,All Other,"All Other primarily consists of ALM activities, liquidating businesses and certain expenses not otherwise allocated to a business segment. ALM activities encompass interest rate and foreign currency risk management activities for which substantially all of the results are allocated to the business segments.",1032001099
PC2W5WSGEQ,2024-12-31,Consumer Banking,"Consumer Banking offers a diversified range of credit, banking and investment products and services to consumers and small businesses. Consumer Banking product offerings include traditional savings accounts, money market savings accounts, CDs and IRAs, checking accounts, and investment accounts and products, as well as credit and debit cards, residential mortgages and home equity loans, and direct and indirect loans to consumers and small businesses in the U.S. Consumer Banking, etc.",1032001001
PC2W5WSGEQ,2024-12-31,Global Banking,"Global Banking provides a wide range of lending-related products and services, integrated working capital management and treasury solutions, and underwriting and advisory services through the Corporation’s network of offices and client relationship teams. Global Banking also provides investment banking products to clients. The economics of certain investment banking and underwriting activities are shared primarily between Global Banking and Global Markets under an internal revenue-sharing.",1032001099
M7AFDHZYNU,2024-12-31,All other segments,"All other segments provides financial and operating lease activities, including leasing services to clients in Colombia. Bancolombia offers these services mainly through Renting Colombia S.A.S. Additionally, the Bank provides real estate service through the FCP Fondo Inmobiliario Colombia, P.A. FAI CALLE 77, P.A. Nomad Salitre, P.A. Mercurio, P.A. Nomad Central, P.A. Calle 84 (2), P.A. Calle 84 (3) and since 2024 through P.A. Cedis Sodimac, P.A. Nomad Distrito Vera and P.A. Nexo.",1036001001
M7AFDHZYNU,2024-12-31,Banking Colombia,"Banking Colombia segment provides retail and corporate banking products and services to individuals, companies and national and local governments in Colombia. The Bank’s strategy in Colombia is to grow with these clients based on value added and long-term relationships. In order to offer specialized services to individuals to guarantee quality service and promote business growth and country development.",1032002001
M7AFDHZYNU,2024-12-31,Banking El Salvador,"Banking El Salvador segment provides retail and commercial banking products and services to individuals, companies and national and local governments in El Salvador through Banco Agricola S.A. Banking El Salvador also includes operations of the following subsidiaries: Banagricola S.A, Inversiones Financieras Banco Agricola S.A. IFBA, Bagricola Costa Rica S.A., Gestora de Fondos de Inversion Banagricola, S.A, Valores Banagricola S.A. de C.V., Accelera S.A. de C.V. and Arrendadora Financiera S.A. Arfinsa.",1032002001
M7AFDHZYNU,2024-12-31,Banking Guatemala,"Banking Guatemala segment provides retail and commercial banking and insurance products and services to individuals, companies and national and local governments in Guatemala through Banco Agromercantil de Guatemala S.A., Banking Guatemala also includes operations of the following subsidiaries: Seguros Agromercantil S.A., Financiera Agromercantil S.A., Agrovalores S.A., Arrendadora Agromercantil S.A., Asistencia y Ajustes S.A., Serproba S.A., Conserjeria, Mantenimiento y Mensajeria S.A.(company in liquidation),etc.",1032002001
M7AFDHZYNU,2024-12-31,Banking Panama,"Banking Panama segment provides retail and commercial banking products and services to individuals and companies in Panama and includes all the operations of Banistmo S.A. and its subsidiaries, which are managed and monitored by the CODM on a consolidated basis. Banking Panama also includes operations of the following operational stage subsidiaries: Banistmo Investment Corporation S.A., Leasing Banistmo S.A. y Valores Banistmo S.A.",1032002001
M7AFDHZYNU,2024-12-31,Brokerage,"Brokerage segment provides brokerage, investment advisory and private banking services to individuals and institutions through Valores Bancolombia S.A. Comisionista de Bolsa. It sells and distributes equities, futures, foreign currencies, fixed income securities, mutual funds and structured products.",1033001002
M7AFDHZYNU,2024-12-31,International Banking,"International Banking segment provides a complete line of international banking services to Colombian and foreign customers through Bancolombia Panama S.A. and Bancolombia Puerto Rico International, Inc. It offers loans to private sector companies, trade financing, leases financing and financing for industrial projects, as well as a complete portfolio of cash management products, such as checking accounts, international collections and payments.",1032001001
M7AFDHZYNU,2024-12-31,Investment banking,"Investment banking segment provides corporate and project financial advisory services, underwriting, capital markets services and private equity management through Banca de Inversion Bancolombia S.A. Corporacion Financiera. Its customers include private and publicly-held corporations as well as government institutions.",1031001002
M7AFDHZYNU,2024-12-31,Trust,"Trust segment provides trust and asset management services to clients in Colombia through Fiduciaria Bancolombia S.A. Sociedad Fiduciaria. The main products offered by this segment include money market accounts, mutual and pension funds, private equity funds, payment trust, custody services and corporate trust.",1031001002
V7CC4AV5WR,2023-12-31,Industrial,"Industrial segment is a global provider of highly-engineered, high-quality precision components, products and systems for critical applications serving a diverse customer base in end-markets such as industrial equipment, automation, personal care, packaging, electronics, mobility and medical devices. Focused on innovative custom solutions, Industrial participates in the design phase of components and assemblies whereby customers receive the benefits of application and systems engineering, etc.",3107002001
V7CC4AV5WR,2023-12-31,Aerospace,"Aerospace is a global manufacturer of complex fabricated and precision-machined components and assemblies for turbine engines, nacelles and structures for both commercial and defense-related aircraft. The Aerospace Aftermarket business provides aircraft engine component MRO services, including services performed under the Component Repair Programs (CRPs), for many of the world’s major turbine engine manufacturers, commercial airlines and the defense market.",3101001005
W22H2R63AE,2024-10-31,Other,"Other segment includes Group Treasury, smaller operating segments and corporate items which are not allocated to a business line.",1032001099
SRWNZHBC7W,2024-12-31,"Beverage packaging, Europe, Middle East and Africa (EMEA)","Beverage packaging, Europe, Middle East and Africa (EMEA) segment consists of operations in numerous countries throughout Europe, as well as Egypt and Turkey, that manufacture and sell aluminum beverage containers throughout those countries.",1025001001
SRWNZHBC7W,2024-12-31,"Beverage packaging, North and Central America","Beverage packaging, North and Central America segment consists of U.S., Canada and Mexico operations that manufacture and sell aluminum beverage containers throughout those countries.",1025001001
SRWNZHBC7W,2024-12-31,"Beverage packaging, South America","Beverage packaging, South America segment consists of operations in Brazil, Argentina, Paraguay and Chile that manufacture and sell aluminum beverage containers throughout most of South America.",1025001001
SRWNZHBC7W,2024-12-31,Other,"Other consists of a non-reportable operating segment (beverage packaging, other) that manufactures and sells aluminum beverage containers in India, Saudi Arabia and throughout the Asia Pacific region; a non-reportable operating segment that manufactures and sells extruded aluminum aerosol containers and recloseable aluminum bottles across multiple consumer categories as well as aluminum slugs (aerosol packaging) throughout North America, South America, Europe, and Asia.",1025001001
CSCZZK74TO,2024-12-31,Fuel Cell Products and Services,"Fuel Cell Products and Services segment includes sale of PEM fuel cell products and services for a variety of applications, including Heavy-Duty Mobility (consisting of bus, truck, rail, and marine applications), Stationary Power, and Emerging and Other Markets (consisting of material handling, off-road, and other applications).",3107002098
HXRKWCLI3H,2024-12-31,Retail,"Retail segment is focused on individuals and small and medium-sized companies whose annual sales do not exceed UF 70,000 (approximately Ch$2,575 million as of December 31, 2023). The segment’s value proposition is primarily focused on consumer loans, commercial loans, current accounts, credit cards, credit lines and residential mortgage loans.",1032002001
HXRKWCLI3H,2024-12-31,Subsidiaries,Subsidiaries segment includes all companies controlled by the bank whose results are obtained individually by the respective company.,1032002099
HXRKWCLI3H,2024-12-31,Treasury,"Treasury segment relates to the management of the bank's liquidity and net positions subject to market risks. This segment also includes the results of the securities portfolio, the derivatives positions and currency trading.",1032002099
HXRKWCLI3H,2024-12-31,Wholesale,"Wholesale segment is focused on corporate clients and large companies whose annual sales exceed UF 70,000 (approximately Ch$2,575 million as of December 31, 2023). This segment offers products and services focused on commercial loans, current accounts, cash management services, debt instruments, foreign trade, derivative contracts and leases, as well as corporate finance transactions.",1032002002
45KUE7BIRX,2024-12-31,BancFirst Community Banks,BancFirst Community Banks consist of banking locations in communities in Oklahoma outside the Oklahoma City and Tulsa metropolitan areas.,1032002001
45KUE7BIRX,2024-12-31,BancFirst Metropolitan Banks,BancFirst Metropolitan Banks consist of banking locations in the metropolitan Oklahoma City and Tulsa areas.,1032002001
5PJPCVHLMM,2024-12-31,Investment and wealth management,"Investment and wealth management business segment consists of two distinct lines of business: Investment Management and Wealth Management. Investment firms deliver a highly diversified portfolio of investment strategies independently, and through global distribution network, to institutional and retail clients globally. Wealth Management provides investment management, custody, wealth and estate planning, private banking services, investment servicing and information management.",1031001003
5PJPCVHLMM,2024-12-31,Market and Wealth Services,"Market and Wealth Services segment consists of three distinct lines of business, Pershing, Treasury Services and Clearance and Collateral Management, which provide business services and technology solutions to entities including financial institutions, corporations, foundations and endowments, public funds and government agencies.",1031001099
5PJPCVHLMM,2024-12-31,Securities Services,"Securities Services segment consists of two distinct lines of business, Asset Servicing, and Issuer Services, which provide business solutions across the transaction life cycle to the global asset owner and asset manager clients.",1031001099
45KUE7BIRX,2024-12-31,"Executive, Operations & Support","Executive, Operations & Support groups represent executive management, operational support and corporate functions that are not allocated to the other business units.",1032002099
45KUE7BIRX,2024-12-31,Other Financial Services,"Other Financial Services are specialty product business units including guaranteed small business lending, residential mortgage lending, trust services, securities brokerage, electronic banking and insurance.",1032002099
45KUE7BIRX,2024-12-31,Pegasus,Pegasus consists of banking locations in the Dallas metropolitan area.,1032002001
45KUE7BIRX,2024-12-31,Worthington,"Worthington consists of banking locations in the Arlington, Fort Worth and Denton Texas.",1032002001
YQCVGSWOHQ,2024-12-31,Activities with the Market + Corporation,"Activities with the Market + Corporation corresponds to the result arising from capital surplus, subordinated debt surplus and the net balance of tax credits and debits. It also includes the financial margin on market trading, Treasury operating costs, and equity in earnings of companies not included in either of the other segments.",1033001002
YQCVGSWOHQ,2024-12-31,Retail Business,"Retail Business segment comprises retail customers, account holders and non-account holders, individuals and legal entities, high income clients (Itau Uniclass and Personnalite) and the companies segment (microenterprises and small companies). It includes financing and credit offers made outside the branch network, in addition to credit cards and payroll loans.",1032002001
YQCVGSWOHQ,2024-12-31,Wholesale Business,"Wholesale Business comprises products and services offered to middle-market companies, high net worth institutional clients (Private Banking), and the operation of Latin American units and Itau BBA, which is the unit responsible for business with large companies and Investment Banking operations.",1032002002
O7N66I4NQP,2024-12-31,Agricultural solutions,"Agricultural solutions segment consists of the division of the same name. Its product portfolio is designed for different crop systems, combining seeds and traits, seed treatment products, and biological and chemical crop protection products. Agricultural Solutions offers farmers innovative and sustainable solutions supported by digital tools. the segment aims for innovation-driven growth and a targeted expansion of the portfolio through collaboration and acquisitions.",1011001001
O7N66I4NQP,2024-12-31,Chemicals,"Chemicals segment comprises the Petrochemicals and Intermediates divisions and is the cornerstone of BASF’s Verbund structure. The segment mainly serves customers in downstream industries, especially in the chemical and plastics industries. In addition, it supplies the other segments with basic chemicals and intermediates, thereby contributing to the organic growth of the BASF Group. its competitiveness is strengthened by process and product innovations as well as the development of sustainable technologies.",1013001002
O7N66I4NQP,2024-12-31,Industrial solutions,"Industrial solutions segment consists of the Dispersions & Resins and the Performance Chemicals divisions. This segment develops and markets ingredients and additives for industrial applications, such as polymer dispersions, resins, additives, electronic materials and antioxidants. Its customers are located in various key industries, such as the automotive, plastics and electronics industries.",1013002004
O7N66I4NQP,2024-12-31,Materials,"Materials segment is composed of the Performance Materials and the Monomers divisions. it offers advanced materials and their precursors for new applications and systems. Its product portfolio includes isocyanates and polyamides as well as inorganic basic products and specialties for plastics and plastics processing. In addition to specific technological knowledge, industry expertise and customer proximity, particularly products that contribute to the circular economy as well as sustainable production methods.",1013001099
O7N66I4NQP,2024-12-31,Nutrition & care,"Nutrition & care segment comprises the Care Chemicals division and the Nutrition & Health division. This segment produces ingredients for consumer applications in the areas of nutrition, home and personal care. Its customers include food and feed producers as well as the pharmaceutical, cosmetics and the detergent and cleaner industries. the increasing demand for more sustainable consumer goods and digitalization are key growth drivers in the segment.",1013002005
O7N66I4NQP,2024-12-31,Other,"Other segment includes activities that are not allocated to any of the divisions. These include other businesses which comprise commodity trading, engineering and other services, as well as rental income and leases. Discontinued operations and certain activities remaining after divestitures are also reported here.",3103001001
O7N66I4NQP,2024-12-31,Surface technologies,"Surface technologies segment bundles chemical solutions for surfaces in the Catalysts and Coatings divisions. Its portfolio range serves the automotive and chemical industries and includes catalysts, battery materials, automotive OEM and refinish coatings, surface treatment, and precious and base metal services. An innovative technology portfolio and tailor-made solutions for customers are the basis for the segment's targeted growth.",1013002004
VNAGGCWWW2,2024-12-31,Consumer and Small Business Banking (CSBB),"Consumer and Small Business Banking (CSBB) serves retail, premier, and small business clients, providing transaction, money market, savings, time deposits and payment services, credit cards, loans, and mortgages through digital banking, an extensive network of community banking branches, ATMs, virtual service centers, and other channels.",1032002001
WFY2KXIIDI,2024-12-31,Commercial Banking,"Commercial Banking segment offers products including commercial and industrial loans, commercial real estate loans, commercial lease financing, auto dealer financing, merchant services, deposit products and cash management services. Commercial lending and lease financing, deposit products, and cash management and merchant services are offered to middle-market and large companies in Hawaii and the Pacific Islands.",1032002002
WFY2KXIIDI,2024-12-31,Consumer Banking,"Consumer Banking segment offers a broad range of financial products and services, including loan and lease financing, deposit, and brokerage and insurance products; private banking and international client banking services; trust services; investment management; and institutional investment advisory services. Loan and lease products include residential mortgage loans, home equity lines of credit, automobile loans and leases, overdraft lines of credit, installment loans etc.",1032002001
WFY2KXIIDI,2024-12-31,Treasury and Other,"Treasury and Other segment consists of corporate asset and liability management activities, including interest rate risk management and a foreign currency exchange business. This segment’s assets and liabilities (and related interest income and expense) consist of interest-bearing deposits, investment securities, federal funds sold and purchased, and short and long-term borrowings.",1032002099
VNAGGCWWW2,2024-12-31,"Other, Treasury and Corporate (OT&C)","Other, Treasury and Corporate (OT&C) includes management of the Company’s investment securities portfolio, long-term debt, derivative instruments used for balance sheet hedging, short-term liquidity and funding activities, balance sheet risk management and most bank-owned real estate assets, as well as the Company’s functional activities such as finance, enterprise risk, legal, and enterprise technology and management, among others.",1032002099
VNAGGCWWW2,2024-12-31,Wholesale Banking (WB),"Wholesale Banking (WB) segment provides a comprehensive set of products, solutions, and advisory services to commercial, corporate, institutional and wealth clients. Banking expertise and product capabilities are delivered through a combination of regional coverage across the Truist footprint and national industry coverage for real estate, and investment banking and capital markets clients.",1032002002
5XVP5GC5IJ,2024-10-31,Capital Markets,"Capital Markets offers a comprehensive range of products and services to corporate, institutional and government clients. Through Investment and Corporate Banking and Global Markets lines of business, there are approximately 2,700 professionals, operating in 30 locations around the world.",1033001001
5XVP5GC5IJ,2024-10-31,Wealth Management,"Wealth Management serves a full range of client segments, from mainstream to ultra high net worth and institutional, with a broad offering of wealth management products and services, including insurance products.",1031001003
5XVP5GC5IJ,2024-10-31,Canadian Personal and Commercial Banking (P&C),"Canadian Personal and Commercial Banking (P&C) provides a full range of financial products and services to nearly eight million customers. Personal and Business Banking provides financial solutions through a network of almost 900 branches, contact centres, digital banking platforms and more than 3,200 automated teller machines. Commercial Banking serves clients across Canada and delivers sector and industry expertise, as well as a local presence.",1032002001
5XVP5GC5IJ,2024-10-31,Corporate Services,"Corporate Services consists of Corporate Units and Technology and Operations (T&O). Corporate Units provide enterprise-wide expertise, governance and support in a variety of areas, including strategic planning, risk management, finance, legal and regulatory compliance, human resources, communications, marketing, real estate and procurement. T&O develops, monitors, manages and maintains governance of information technology including data and analytics, and also provides cybersecurity and operations services.",3103001001
5XVP5GC5IJ,2024-10-31,U.S. Banking,"U.S. Banking provides financial products and services to four million customers. Personal and Business Banking provides financial solutions through a network of nearly 1,000 branches, contact centres, digital banking platforms and more than 40,000 automated teller machines. Commercial Banking serves clients across the United States and delivers sector and industry expertise, as well as a local presence.",1032002001
7Y4NZ32JCF,2023-12-31,Community banking,"Banner Corp is managed by legal entity and not by lines of business. The Bank is a community oriented commercial bank chartered in Washington state. The Bank’s primary business is that of a traditional banking institution, gathering deposits and originating loans for portfolio in its respective primary market areas.",1032002001
7EUNSSG6PH,2024-12-31,Commercial,"Commercial Segment encompasses the Bank’s core business of financial intermediation and fee generating activities developed to cater to corporations, financial institutions and investors in Latin America.",1032002002
7EUNSSG6PH,2024-12-31,Treasury,"Treasury Segment focuses on managing the Bank’s Investment Portfolio, and the overall structure of its assets and liabilities to achieve more efficient funding and liquidity positions for the Bank, mitigating the traditional financial risks associated with the balance sheet, such as interest rate, liquidity, price and currency risks.",1032002099
52KRWAQD2X,2022-12-31,Bell Media,"Bell MediaBell Media provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services and OOH advertising services to customers nationally across Canada. Revenues are derived primarily from advertising and subscriber fees.",3082004007
33CO3C6QW7,2023-12-31,Community Banking,Community Banking segment provides a broad range of banking services through the branch network to serve the needs of community businesses and individual consumers in the geographic footprint.,1032002001
33CO3C6QW7,2023-12-31,Corporate Banking,"Corporate Banking segment focuses on C&I, business banking, and commercial real estate lending to clients in the geographic footprint.",1032002002
33CO3C6QW7,2023-12-31,Banking Services,"Banking Services segment offers individuals, businesses, governmental institutions, and non-profit entities a wide range of solutions to help protect, grow, and transfer wealth. Offerings include credit-related products, trust and investment management, asset management, retirement and savings solutions, estate planning and annuity products.",1032002001
33CO3C6QW7,2023-12-31,Mortgage,"Mortgage segment includes mortgage banking activities of originating mortgage loans, selling mortgage loans in the secondary market and servicing the mortgage loans that are sold on a servicing retained basis.",1032003001
52KRWAQD2X,2022-12-31,Bell Wireless,"Bell Wireless includes wireless service revenues and product sales as well as the results of operations of its national consumer electronics retailer, The Source (Bell) Electronics Inc. (The Source). Wireless services are provided to its residential, small and medium-sized business and large enterprise customers across Canada.",3081001001
52KRWAQD2X,2022-12-31,Bell Wireline,"Bell Wireline includes data revenues (including Internet, IPTV, cloud-based services and business solutions), voice and other communication services revenues, and wireline product sales. These services are provided to its residential, small and medium-sized business, and large enterprise customers primarily in Ontario, Quebec, the Atlantic provinces, and Manitoba, while satellite TV service and connectivity to business customers are available nationally across Canada.",3081001001
KWNX6ZHRJB,2024-12-31,Single segment,"Benchmark Electronics Inc provide manufacturing services, design and engineering services, and technology solutions in the Americas, Asia and Europe.",3112004001
5ZKJ5ZCUJY,2024-12-31,Connectivity Solutions,"Connectivity Solutions segment includes high-speed and harsh environment copper and optical fiber connectors and integrated assemblies, providing connectivity solutions within the commercial aerospace, military communications, defense, network infrastructure, structured building cabling and several industrial applications.",3107006001
5ZKJ5ZCUJY,2024-12-31,Magnetic Solutions,"Magnetic Solutions segment includes the company’s ICM products, which integrate RJ45 connectors with discrete magnetic components to provide better performance and a more robust device, substantially reducing board space and optimizing performance. This segment also includes Power Transformers for use in a wide array of applications, including industrial instrumentation, alarm and security systems, motion control, elevators, and medical products.",3112004001
5ZKJ5ZCUJY,2024-12-31,Power Solutions and Protection,"Power Solutions and Protection segment includes internal and external AC/DC power supplies, DC/DC converters and DC/AC inverters utilized in defense, commercial aerospace, industrial, networking and consumer applications. Bel circuit protection products include board-level fuses (miniature, micro and surface mount), and Polymeric PTC (Positive Temperature Coefficient) devices, designed for the global electronic and telecommunication markets.",3107006099
LOYNU6V3TT,2024-12-31,Audio,"Audio segment generates revenue primarily from the sale of commercial advertising to customers of the Company’s stations in the following markets: Augusta, GA, Boston, MA, Charlotte, NC, Detroit, MI, Fayetteville, NC, Fort Myers-Naples, FL, Las Vegas, NV, Middlesex, NJ, Monmouth, NJ, Morristown, NJ, Philadelphia, PA, and Tampa-Saint Petersburg, FL.",3082003002
LOYNU6V3TT,2024-12-31,Digital,Digital segment generates revenue primarily from the sale of digital advertising to customers of the Company’s stations and other advertisers throughout the United States.,3082001002
H225LXDSAR,2024-12-31,Automation Solutions,"Automation Solutions segment at Belden provides network infrastructure and digitization solutions to enable customers to make data-based business decisions. They accelerate digital transformation by providing complete connection solutions that encompass the four aspects of data handling including acquisition, transmission, orchestration and management. The primary markets include discrete automation, process automation, energy, and mass transit.",3112001001
H225LXDSAR,2024-12-31,Smart Infrastructure Solutions,"Smart Infrastructure Solutions segment is a leading provider in network infrastructure and broadband solutions, as well as cabling and connectivity solutions for commercial audio/video and security applications. The priority vertical markets for smart building solutions include data centers, government, healthcare, and hospitality. They also serve customers in markets such as commercial real estate, education, financial institutions, stadiums and venues, and military installations.",3112001002
EBYKLNJ3JY,2024-12-31,Healthcare Systems and Technologies,"Healthcare Systems and Technologies segment includes sales of connected care solutions and collaboration tools, including smart bed systems, patient monitoring systems and diagnostic technologies, respiratory health devices and advanced equipment for the surgical space, including operating room integration technologies, precision positioning devices, and other accessories.",2065001002
EBYKLNJ3JY,2024-12-31,Medical Products and Therapies,"Medical Products and Therapies segment includes sales of sterile IV solutions, infusion systems, administration sets, parenteral nutrition therapies and surgical hemostat, sealant and adhesion prevention products.",2065002002
EBYKLNJ3JY,2024-12-31,Other,Other segment primarily includes sales of products and services provided directly through certain manufacturing facilities and royalty income under business development.,2065002002
EBYKLNJ3JY,2024-12-31,Pharmaceuticals,"Pharmaceuticals segment includes sales of specialty injectable pharmaceuticals, inhaled anesthetics and drug compounding services.",2064502001
WK2XWEXOFB,2024-12-31,Consumer Health,"Consumer Health segment development, production and marketing of mainly nonprescription (OTC = over-the-counter) products in the dermatology, nutritional supplements, digestive health, allergy, cough and cold, and pain and cardiovascular risk prevention categories.",2062002001
WK2XWEXOFB,2024-12-31,Crop Science,"Crop Science segment development, production and marketing of a broad portfolio of products in seeds and plant traits, crop protection, digital solutions and customer services to promote sustainable agriculture.",1011001001
WK2XWEXOFB,2024-12-31,Pharmaceuticals,"Pharmaceuticals segment development, production and marketing of prescription products, especially for cardiology and women’s health; specialty therapeutics in the areas of oncology, hematology, ophthalmology and in the medium term, cell and gene therapy; diagnostic imaging equipment and the necessary contrast agents.",2062002001
6YG3ICHHDD,2024-12-31,Barclays Investment Bank,"Barclays Investment Bank segment incorporates the Global Markets, Investment Banking and International Corporate Banking businesses, serving FTSE 350, multinationals and financial institution clients that are regular users of Investment Bank services.",1032001001
6YG3ICHHDD,2024-12-31,Barclays Private Bank and Wealth Management,"Barclays Private Bank and Wealth Management division serves UK and international private banking clients providing a range of investment, banking and lending products alongside expert advice. It also serves UK wealth management and UK digital investing clients offering a range of financial services.",1035002001
6YG3ICHHDD,2024-12-31,Barclays UK,"Barclays UK segment broadly represents businesses that sit within the UK ring-fenced bank entity, Barclays Bank UK PLC, and comprises Personal Banking, Business Banking and Barclaycard Consumer UK.",1032002001
6YG3ICHHDD,2024-12-31,Barclays UK Corporate Bank,"Barclays UK Corporate Bank division brings together lending, trade and working capital, liquidity, payments and FX solutions for UK corporate clients with an annual turnover from £6.5 million and higher, excluding those clients that form part of the FTSE 350, which are included within the IB.",1032002002
6YG3ICHHDD,2024-12-31,Barclays US Consumer Bank,"Barclays US Consumer Bank is a co-branded credit card issuer and financial services partner in the United States for travel, entertainment, retail and affinity institutions. It offers co-branded, small business and private label credit cards, instalment loans, online savings accounts and certificates of deposits.",1032001001
F3KXASLLQ3,2024-09-30,Interventional,"Interventional provides vascular, urology, oncology and surgical specialty products that are intended to be used once and then discarded or are either temporarily or permanently implanted. The primary customers served by BD Interventional are hospitals, ambulatory surgery centers, individual healthcare professionals, extended care facilities, alternate site facilities, and patients via their Homecare business.",2065002002
F3KXASLLQ3,2024-09-30,Life Sciences,"Life Sciences provides products for the safe collection and transport of diagnostics specimens, and instruments and reagent systems to detect a broad range of infectious diseases, healthcare-associated infections and cancers. In addition, BD Life Sciences produces research and clinical tools that facilitate the study of cells, and the components of cells, to gain a better understanding of normal and disease processes.",2065002002
F3KXASLLQ3,2024-09-30,Medical Essentials,Medical Essentials produces a broad array of medical technologies and devices that are used to help improve healthcare delivery in a wide range of settings. The primary customers served by BD Medical are hospitals and clinics; physicians’ office practices; consumers and retail pharmacies; governmental and nonprofit public health agencies; pharmaceutical companies; and healthcare workers.,2065002002
